# ----------------------------------------
# Report CSV Export
# Account: Faro Blanco Resort and Marina
# Property: 12423 - Faro Blanco - Hotel - GA4
# ----------------------------------------
# Which channels drive the most conversions?
# Start date: 20220129
# End date: 20230129
Default channel group,Conversions
Organic Search,15238.71575
Paid Search,7970.363212
Direct,2999
Organic Social,1505.144646
Referral,1461.769686
Email,1044.508931
Paid Social,920.349988
Unassigned,242.53093
Display,167.555387
Cross-network,115.839248
Mobile Push Notifications,5.222222
Paid Other,1

#  


# 


# What touchpoints do customers take to convert?
# Start date: 20220129
# End date: 20230129
Default channel group,Conversions,Last click path attributed conversions
"[""Unassigned"",""Unassigned"",""Unassigned"",""Organic Search"",""Organic Search""]",3,NaN
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",3,NaN
"[""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Paid Search""]",2,NaN
"[""Cross-network"",""Cross-network"",""Cross-network"",""Paid Search""]",2,NaN
"[""Display"",""Display"",""Display"",""Display"",""Display"",""Display"",""Display""]",2,NaN
"[""Display"",""Display"",""Display"",""Display"",""Display"",""Display"",""Display"",""Display"",""Display"",""Display"",""Organic Search"",""Organic Search""]",2,NaN
"[""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email""]",2,NaN
"[""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email""]",2,NaN
"[""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email""]",2,NaN
"[""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email""]",2,NaN
"[""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Referral"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email""]",2,NaN
"[""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Organic Social"",""Organic Social"",""Referral"",""Organic Social"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Organic Search"",""Organic Search""]",2,NaN
"[""Email"",""Email"",""Email"",""Email"",""Organic Search"",""Organic Search""]",2,NaN
"[""Email"",""Email"",""Email"",""Email"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Email"",""Email"",""Email"",""Email"",""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Referral"",""Email"",""Email""]",2,NaN
"[""Email"",""Email"",""Email"",""Email"",""Paid Search"",""Paid Search""]",2,NaN
"[""Email"",""Email"",""Email"",""Email"",""Referral"",""Email""]",2,NaN
"[""Email"",""Email"",""Email"",""Organic Search"",""Organic Search""]",2,NaN
"[""Email"",""Email"",""Email"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Email"",""Email"",""Email"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Email"",""Email"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Email"",""Email"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Email"",""Email"",""Organic Social"",""Organic Social""]",2,NaN
"[""Email"",""Email"",""Referral"",""Referral"",""Referral"",""Email"",""Email"",""Email"",""Email"",""Email""]",2,NaN
"[""Email"",""Email"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Organic Search"",""Organic Search""]",2,NaN
"[""Email"",""Referral"",""Referral"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Mobile Push Notifications""]",2,NaN
"[""Organic Search"",""Organic Search"",""Email"",""Email""]",2,NaN
"[""Organic Search"",""Organic Search"",""Email"",""Email"",""Email""]",2,NaN
"[""Organic Search"",""Organic Search"",""Email"",""Email"",""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Referral"",""Referral"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Email"",""Email""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Email"",""Email"",""Email"",""Email"",""Display"",""Display"",""Display"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Email"",""Email""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Email"",""Email"",""Email"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Email"",""Email"",""Email"",""Email"",""Organic Search"",""Organic Search"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Email"",""Email"",""Email""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Organic Search"",""Referral"",""Organic Search"",""Referral"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search"",""Organic Search"",""Organic Search"",""Referral"",""Organic Search"",""Referral"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Social"",""Organic Social"",""Organic Social"",""Referral"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Social"",""Organic Social"",""Organic Social"",""Referral"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Paid Social"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Email"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Referral"",""Email"",""Email"",""Email""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Referral""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Referral""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Organic Search"",""Referral"",""Referral"",""Email"",""Email"",""Email"",""Email"",""Email""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Referral""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Paid Social"",""Paid Social""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Organic Search"",""Referral"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Social"",""Organic Social"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Referral"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Unassigned"",""Unassigned"",""Unassigned"",""Organic Search"",""Unassigned"",""Unassigned"",""Unassigned"",""Organic Search"",""Organic Search"",""Unassigned"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Social"",""Organic Social"",""Organic Social""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search"",""Paid Search"",""Referral"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Organic Search"",""Referral""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Referral"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral""]",2,NaN
"[""Organic Search"",""Organic Search"",""Organic Social"",""Display"",""Display"",""Paid Search"",""Paid Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Paid Search"",""Paid Search"",""Paid Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Referral"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Referral"",""Organic Search"",""Referral"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Referral"",""Organic Search"",""Referral"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Referral"",""Organic Search"",""Referral"",""Referral"",""Organic Search"",""Referral"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Referral"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Referral"",""Paid Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral""]",2,NaN
"[""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral""]",2,NaN
"[""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Referral"",""Referral"",""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Referral"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",2,NaN
"[""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral""]",2,NaN
"[""Organic Search"",""Organic Search"",""Unassigned"",""Unassigned"",""Unassigned""]",2,NaN
